run,model,kd_method,corruption,severity,acc,ece,nll,brier,agreement,kl_ts,agreement_on_teacher_errors
student_resnet20_dkd_augmixT_s1,resnet20,dkd,gaussian_noise,5,0.12790000438690186,0.41002991795539856,6.1679487228393555,1.1763306856155396,0.26269999146461487,2.7202727794647217,0.23870202898979187
student_resnet20_kd_augmixT_s1,resnet20,kd,gaussian_noise,5,0.10719999670982361,0.538644015789032,8.177620887756348,1.324547529220581,0.2232999950647354,4.084736347198486,0.20254851877689362
student_resnet20_kd_augmixT_s2,resnet20,kd,gaussian_noise,5,0.09529999643564224,0.5439246892929077,8.314992904663086,1.3342169523239136,0.2021999955177307,4.166741847991943,0.18358275294303894
student_resnet20_dkd_augmixT_s1,resnet20,dkd,shot_noise,1,0.5479999780654907,0.12230776250362396,1.8504478931427002,0.6128763556480408,0.5942000150680542,1.0659809112548828,0.32554516196250916
student_resnet20_kd_augmixT_s1,resnet20,kd,shot_noise,1,0.49549999833106995,0.2542930245399475,2.56792950630188,0.7367104887962341,0.544700026512146,1.7041040658950806,0.30747663974761963
student_resnet20_kd_augmixT_s2,resnet20,kd,shot_noise,1,0.4986000061035156,0.2527958154678345,2.588890552520752,0.7373186349868774,0.545199990272522,1.7199933528900146,0.3006230592727661
student_resnet20_dkd_augmixT_s1,resnet20,dkd,shot_noise,2,0.43549999594688416,0.18635888397693634,2.536764144897461,0.7506590485572815,0.5015000104904175,1.41877019405365,0.30533942580223083
student_resnet20_kd_augmixT_s1,resnet20,kd,shot_noise,2,0.384799987077713,0.3285464346408844,3.6019785404205322,0.9009560346603394,0.43790000677108765,2.3135721683502197,0.2624094486236572
student_resnet20_kd_augmixT_s2,resnet20,kd,shot_noise,2,0.3758000135421753,0.33949053287506104,3.7389187812805176,0.9196211099624634,0.4325000047683716,2.418278932571411,0.2610678970813751
student_resnet20_dkd_augmixT_s1,resnet20,dkd,shot_noise,3,0.257999986410141,0.3132171332836151,4.202040672302246,0.9994472861289978,0.3544999957084656,2.184215545654297,0.26209357380867004
student_resnet20_kd_augmixT_s1,resnet20,kd,shot_noise,3,0.21580000221729279,0.46690258383750916,5.861318588256836,1.16890549659729,0.30219998955726624,3.4765563011169434,0.23334655165672302
student_resnet20_kd_augmixT_s2,resnet20,kd,shot_noise,3,0.19830000400543213,0.474100261926651,6.062682628631592,1.1898572444915771,0.28949999809265137,3.6004936695098877,0.23612213134765625
student_resnet20_dkd_augmixT_s1,resnet20,dkd,shot_noise,4,0.20589999854564667,0.3517816662788391,4.864565372467041,1.0748095512390137,0.32030001282691956,2.4472572803497314,0.26334908604621887
student_resnet20_kd_augmixT_s1,resnet20,kd,shot_noise,4,0.16930000483989716,0.49638989567756653,6.6843414306640625,1.2376556396484375,0.26409998536109924,3.8186256885528564,0.2186705470085144
student_resnet20_kd_augmixT_s2,resnet20,kd,shot_noise,4,0.1527000069618225,0.5106688737869263,6.869375228881836,1.2606436014175415,0.25369998812675476,3.921875,0.22321103513240814
student_resnet20_dkd_augmixT_s1,resnet20,dkd,shot_noise,5,0.14350000023841858,0.4033906161785126,5.815877914428711,1.1616392135620117,0.260699987411499,2.786510944366455,0.23124700784683228
student_resnet20_kd_augmixT_s1,resnet20,kd,shot_noise,5,0.12160000205039978,0.5328512787818909,7.820328712463379,1.3102997541427612,0.2264000028371811,4.188560962677002,0.20369485020637512
student_resnet20_kd_augmixT_s2,resnet20,kd,shot_noise,5,0.10890000313520432,0.5351783037185669,7.853940010070801,1.3166744709014893,0.20919999480247498,4.187380790710449,0.19175027310848236
student_resnet20_dkd_augmixT_s1,resnet20,dkd,impulse_noise,1,0.5892999768257141,0.10331351310014725,1.5516033172607422,0.5460551977157593,0.6320000290870667,0.9628138542175293,0.3312862515449524
student_resnet20_kd_augmixT_s1,resnet20,kd,impulse_noise,1,0.5669999718666077,0.20361551642417908,1.977780818939209,0.6246930956840515,0.593500018119812,1.4299436807632446,0.28420335054397583
student_resnet20_kd_augmixT_s2,resnet20,kd,impulse_noise,1,0.5503000020980835,0.2151472568511963,2.091599941253662,0.6502789258956909,0.578499972820282,1.5281450748443604,0.27942681312561035
student_resnet20_dkd_augmixT_s1,resnet20,dkd,impulse_noise,2,0.4715999960899353,0.14987292885780334,2.213359832763672,0.6964638233184814,0.5080999732017517,1.4170089960098267,0.25988858938217163
student_resnet20_kd_augmixT_s1,resnet20,kd,impulse_noise,2,0.430400013923645,0.2891606092453003,2.9724721908569336,0.8266963958740234,0.4578000009059906,2.2255918979644775,0.22451253235340118
student_resnet20_kd_augmixT_s2,resnet20,kd,impulse_noise,2,0.3928999900817871,0.3099934756755829,3.312018632888794,0.8809611201286316,0.413100004196167,2.4961495399475098,0.20334261655807495
student_resnet20_dkd_augmixT_s1,resnet20,dkd,impulse_noise,3,0.35850000381469727,0.2046019434928894,2.978184938430786,0.8367892503738403,0.39570000767707825,1.9436300992965698,0.213878333568573
student_resnet20_kd_augmixT_s1,resnet20,kd,impulse_noise,3,0.3172999918460846,0.3603724539279938,3.97304368019104,0.9898825883865356,0.3366999924182892,3.0173487663269043,0.16848859190940857
