run,model,kd_method,corruption,severity,acc,ece,nll,brier,mean_conf,agreement,kl_ts,agreement_on_teacher_errors
teacher_resnet32x4,resnet32x4,none,contrast,5,0.23010000586509705,0.4664143919944763,5.110017776489258,1.1676533222198486,0.6965144276618958,1.0,1.4219673216686601e-09,1.0
student_resnet8x4_dkd,resnet8x4,dkd,elastic_transform,1,0.6675000190734863,0.06888122856616974,1.3284072875976562,0.464153915643692,0.7302491664886475,0.7027000188827515,0.721932590007782,0.35881587862968445
student_resnet8x4_kd,resnet8x4,kd,elastic_transform,1,0.618399977684021,0.1690976470708847,1.6718826293945312,0.5501953363418579,0.7874975800514221,0.6542999744415283,1.0658206939697266,0.3311645984649658
student_resnet8x4_kd_T1,resnet8x4,kd,elastic_transform,1,0.6187000274658203,0.10926754772663116,1.516587495803833,0.5216253399848938,0.7279675602912903,0.6435999870300293,1.0553463697433472,0.31197136640548706
student_resnet8x4_scratch,resnet8x4,none,elastic_transform,1,0.6211000084877014,0.1096678227186203,1.5035226345062256,0.5193740725517273,0.7307677865028381,0.644599974155426,1.045334815979004,0.30221208930015564
teacher_resnet32x4,resnet32x4,none,elastic_transform,1,0.6926000118255615,0.1261417716741562,1.3508867025375366,0.4491446912288666,0.8179665207862854,1.0,3.068041098952534e-10,1.0
student_resnet8x4_dkd,resnet8x4,dkd,elastic_transform,2,0.6621999740600586,0.0687452107667923,1.3401306867599487,0.469318687915802,0.7265931367874146,0.6995000243186951,0.7205943465232849,0.35388651490211487
student_resnet8x4_kd,resnet8x4,kd,elastic_transform,2,0.6187999844551086,0.16551344096660614,1.6815078258514404,0.5519744157791138,0.7843133807182312,0.6583999991416931,1.0766562223434448,0.33486390113830566
student_resnet8x4_kd_T1,resnet8x4,kd,elastic_transform,2,0.6184999942779541,0.10930918902158737,1.523301124572754,0.5245508551597595,0.727656900882721,0.6399000287055969,1.058325171470642,0.29485076665878296
student_resnet8x4_scratch,resnet8x4,none,elastic_transform,2,0.6184999942779541,0.10873379558324814,1.4858299493789673,0.5185258984565735,0.7272337675094604,0.6463000178337097,1.0432363748550415,0.3086257874965668
teacher_resnet32x4,resnet32x4,none,elastic_transform,2,0.6951000094413757,0.121670663356781,1.344389796257019,0.44491273164749146,0.8167707324028015,1.0,5.235099020950429e-10,1.0
student_resnet8x4_dkd,resnet8x4,dkd,elastic_transform,3,0.5992000102996826,0.0883101299405098,1.6206408739089966,0.5478419065475464,0.6852976679801941,0.6499000191688538,0.8324127197265625,0.3452768623828888
student_resnet8x4_kd,resnet8x4,kd,elastic_transform,3,0.5479999780654907,0.20105183124542236,2.088336706161499,0.6500575542449951,0.7490518689155579,0.5989000201225281,1.2591310739517212,0.3222041130065918
student_resnet8x4_kd_T1,resnet8x4,kd,elastic_transform,3,0.5519999861717224,0.14148275554180145,1.864486575126648,0.6122063994407654,0.6934381127357483,0.5834000110626221,1.2293877601623535,0.2882736027240753
student_resnet8x4_scratch,resnet8x4,none,elastic_transform,3,0.5579000115394592,0.13582724332809448,1.813720941543579,0.5996466279029846,0.6937272548675537,0.586899995803833,1.209260106086731,0.2852877378463745
teacher_resnet32x4,resnet32x4,none,elastic_transform,3,0.631600022315979,0.1513112485408783,1.651269555091858,0.5270518660545349,0.7817823886871338,1.0,5.485846221731094e-10,1.0
