run,model,kd_method,corruption,severity,acc,ece,nll,brier,mean_conf,agreement,kl_ts,agreement_on_teacher_errors
student_resnet8x4_dkd_tckd,resnet8x4,dkd,pixelate,3,0.48500001430511475,0.2299116551876068,2.675225257873535,0.7383131384849548,0.7149116396903992,0.5335999727249146,1.886064052581787,0.3060966432094574
student_resnet8x4_kd_s1,resnet8x4,kd,pixelate,3,0.5253000259399414,0.21516402065753937,2.2551047801971436,0.6796910762786865,0.7404640913009644,0.5842000246047974,1.2764019966125488,0.32759928703308105
student_resnet8x4_kd_s2,resnet8x4,kd,pixelate,3,0.5555999875068665,0.19321826100349426,2.0503649711608887,0.6362959146499634,0.7487632036209106,0.5976999998092651,1.2597531080245972,0.3187452554702759
student_resnet8x4_dkd_nckd,resnet8x4,dkd,pixelate,4,0.337799996137619,0.13997241854667664,3.006011962890625,0.8387869000434875,0.47569286823272705,0.49570000171661377,1.083106279373169,0.37473079562187195
student_resnet8x4_dkd_s1,resnet8x4,dkd,pixelate,4,0.3327000141143799,0.26335006952285767,3.2740302085876465,0.9020712971687317,0.5960500240325928,0.4982999861240387,1.1500197649002075,0.3815506100654602
student_resnet8x4_dkd_s2,resnet8x4,dkd,pixelate,4,0.3596999943256378,0.24264167249202728,3.0924832820892334,0.8619002103805542,0.6022831201553345,0.5131000280380249,1.140021562576294,0.3783201575279236
student_resnet8x4_dkd_tckd,resnet8x4,dkd,pixelate,4,0.29829999804496765,0.3872596025466919,5.243850231170654,1.031862735748291,0.6855596303939819,0.4169999957084656,2.516798734664917,0.31442928314208984
student_resnet8x4_kd_s1,resnet8x4,kd,pixelate,4,0.31130000948905945,0.39023035764694214,4.13162088394165,1.0203441381454468,0.701530396938324,0.45590001344680786,1.7534219026565552,0.3467336595058441
student_resnet8x4_kd_s2,resnet8x4,kd,pixelate,4,0.34880000352859497,0.3502776324748993,3.7461395263671875,0.9513214826583862,0.6985869407653809,0.47209998965263367,1.6798949241638184,0.33758077025413513
student_resnet8x4_dkd_nckd,resnet8x4,dkd,pixelate,5,0.17880000174045563,0.299422025680542,4.308413028717041,1.0573134422302246,0.4782220721244812,0.40869998931884766,1.3270063400268555,0.35977375507354736
student_resnet8x4_dkd_s1,resnet8x4,dkd,pixelate,5,0.18709999322891235,0.3834295868873596,4.588368892669678,1.1157885789871216,0.570529580116272,0.4431000053882599,1.3193368911743164,0.3974341154098511
student_resnet8x4_dkd_s2,resnet8x4,dkd,pixelate,5,0.21230000257492065,0.3643789291381836,4.429610252380371,1.0826386213302612,0.5763099193572998,0.4514000117778778,1.3187992572784424,0.39108842611312866
student_resnet8x4_dkd_tckd,resnet8x4,dkd,pixelate,5,0.16750000417232513,0.4993806779384613,7.919757843017578,1.2395920753479004,0.6668807864189148,0.3880999982357025,2.6759419441223145,0.35535934567451477
student_resnet8x4_kd_s1,resnet8x4,kd,pixelate,5,0.17980000376701355,0.49542373418807983,5.718318462371826,1.2316155433654785,0.6752237677574158,0.40849998593330383,1.9166804552078247,0.3643261194229126
student_resnet8x4_kd_s2,resnet8x4,kd,pixelate,5,0.2029000073671341,0.48478201031684875,5.601249694824219,1.1995307207107544,0.687682032585144,0.40619999170303345,1.982069969177246,0.3462546467781067
student_resnet8x4_dkd_nckd,resnet8x4,dkd,jpeg_compression,1,0.5842999815940857,0.04774915426969528,1.61561119556427,0.5553151369094849,0.5435232520103455,0.6297000050544739,0.8181486129760742,0.33864647150039673
student_resnet8x4_dkd_s1,resnet8x4,dkd,jpeg_compression,1,0.5929999947547913,0.07303674519062042,1.6120966672897339,0.5491247177124023,0.6609883904457092,0.6359999775886536,0.8462814688682556,0.33890774846076965
student_resnet8x4_dkd_s2,resnet8x4,dkd,jpeg_compression,1,0.5989000201225281,0.07684610038995743,1.5921428203582764,0.5435755848884583,0.6704176664352417,0.6358000040054321,0.8569880127906799,0.32845571637153625
student_resnet8x4_dkd_tckd,resnet8x4,dkd,jpeg_compression,1,0.5078999996185303,0.20785121619701385,2.2797226905822754,0.7009391784667969,0.7157512307167053,0.536899983882904,1.8560019731521606,0.2780245542526245
student_resnet8x4_kd_s1,resnet8x4,kd,jpeg_compression,1,0.555899977684021,0.19200384616851807,1.995012640953064,0.638629138469696,0.7479038238525391,0.5950000286102295,1.2873159646987915,0.30911940336227417
student_resnet8x4_kd_s2,resnet8x4,kd,jpeg_compression,1,0.5659000277519226,0.18069644272327423,1.959646463394165,0.62819904088974,0.74648118019104,0.5989999771118164,1.2667006254196167,0.3059838116168976
student_resnet8x4_dkd_nckd,resnet8x4,dkd,jpeg_compression,2,0.5116999745368958,0.042728908360004425,1.9423598051071167,0.6333869695663452,0.47871893644332886,0.5673999786376953,0.9358323216438293,0.322386771440506
student_resnet8x4_dkd_s1,resnet8x4,dkd,jpeg_compression,2,0.5309000015258789,0.07956711947917938,1.90450918674469,0.6211680769920349,0.602508544921875,0.5705999732017517,0.9735003709793091,0.3054303526878357
student_resnet8x4_dkd_s2,resnet8x4,dkd,jpeg_compression,2,0.5241000056266785,0.09109793603420258,1.9317800998687744,0.6301433444023132,0.6139192581176758,0.5708000063896179,0.997557520866394,0.30800601840019226
student_resnet8x4_dkd_tckd,resnet8x4,dkd,jpeg_compression,2,0.44449999928474426,0.2397281974554062,2.744389772415161,0.7837952375411987,0.6842281818389893,0.47269999980926514,2.153810739517212,0.2519854009151459
student_resnet8x4_kd_s1,resnet8x4,kd,jpeg_compression,2,0.4936000108718872,0.21117156744003296,2.350785255432129,0.7186753153800964,0.7047715187072754,0.5220000147819519,1.5015196800231934,0.26679545640945435
student_resnet8x4_kd_s2,resnet8x4,kd,jpeg_compression,2,0.4878000020980835,0.2146984040737152,2.345351219177246,0.7222300171852112,0.7024698257446289,0.5196999907493591,1.4772535562515259,0.27022966742515564
student_resnet8x4_dkd_nckd,resnet8x4,dkd,jpeg_compression,3,0.4867999851703644,0.04223354160785675,2.0685782432556152,0.6615402698516846,0.4588828980922699,0.5382999777793884,0.9762628078460693,0.29832693934440613
