run,model,kd_method,corruption,severity,acc,ece,nll,brier,agreement,kl_ts,agreement_on_teacher_errors
student_resnet20_scratch_s2,resnet20,none,fog,3,0.5917999744415283,0.11233968287706375,1.5908243656158447,0.5499109625816345,0.6313999891281128,0.9927152395248413,0.32514408230781555
student_resnet20_dkd_s1,resnet20,dkd,fog,4,0.542900025844574,0.16207581758499146,1.9295498132705688,0.627318263053894,0.6205999851226807,0.9714581966400146,0.3701935112476349
student_resnet20_kd_s1,resnet20,kd,fog,4,0.5293999910354614,0.24976971745491028,2.3943979740142822,0.7015706300735474,0.5945000052452087,1.3703805208206177,0.34003517031669617
student_resnet20_kd_s2,resnet20,kd,fog,4,0.527400016784668,0.25947481393814087,2.4111387729644775,0.7025033235549927,0.6003000140190125,1.3776448965072632,0.35461172461509705
student_resnet20_scratch_s1,resnet20,none,fog,4,0.5242000222206116,0.12824316322803497,1.9180814027786255,0.6311479210853577,0.5716000199317932,1.1463117599487305,0.30233725905418396
student_resnet20_scratch_s2,resnet20,none,fog,4,0.5214999914169312,0.1430860161781311,2.003864288330078,0.645876407623291,0.5727999806404114,1.1676579713821411,0.31138476729393005
student_resnet20_dkd_s1,resnet20,dkd,fog,5,0.3312000036239624,0.300301194190979,3.604539394378662,0.9269258975982666,0.48500001430511475,1.3266537189483643,0.3614419102668762
student_resnet20_kd_s1,resnet20,kd,fog,5,0.31150001287460327,0.40682995319366455,4.590079307556152,1.0383310317993164,0.4530999958515167,1.9404064416885376,0.33134856820106506
student_resnet20_kd_s2,resnet20,kd,fog,5,0.3174999952316284,0.4158324599266052,4.626280307769775,1.0399219989776611,0.46320000290870667,1.9471060037612915,0.3416478931903839
student_resnet20_scratch_s1,resnet20,none,fog,5,0.31150001287460327,0.2664102613925934,3.5040018558502197,0.9177359342575073,0.43160000443458557,1.5808075666427612,0.3062439560890198
student_resnet20_scratch_s2,resnet20,none,fog,5,0.29809999465942383,0.28966718912124634,3.72876238822937,0.9450547695159912,0.4309999942779541,1.5944105386734009,0.31606051325798035
student_resnet20_dkd_s1,resnet20,dkd,brightness,1,0.6969000101089478,0.08400541543960571,1.1218745708465576,0.42119625210762024,0.7333999872207642,0.6608005166053772,0.38189300894737244
student_resnet20_kd_s1,resnet20,kd,brightness,1,0.6891000270843506,0.1520451009273529,1.3388557434082031,0.46053555607795715,0.7196999788284302,0.9157468676567078,0.35596707463264465
student_resnet20_kd_s2,resnet20,kd,brightness,1,0.6913999915122986,0.15225866436958313,1.3507483005523682,0.461597740650177,0.7161999940872192,0.9235063195228577,0.3440329134464264
student_resnet20_scratch_s1,resnet20,none,brightness,1,0.6880000233650208,0.05998039245605469,1.1273245811462402,0.4267086982727051,0.7081000208854675,0.7828522324562073,0.3226337432861328
student_resnet20_scratch_s2,resnet20,none,brightness,1,0.6854000091552734,0.07373736798763275,1.1556352376937866,0.43313369154930115,0.7074999809265137,0.7888970971107483,0.327160507440567
student_resnet20_dkd_s1,resnet20,dkd,brightness,2,0.6862999796867371,0.08813907206058502,1.1645796298980713,0.433684378862381,0.728600025177002,0.6836599111557007,0.388207346200943
student_resnet20_kd_s1,resnet20,kd,brightness,2,0.6798999905586243,0.1560572236776352,1.3856948614120483,0.4732387661933899,0.7141000032424927,0.9494438767433167,0.36129799485206604
student_resnet20_kd_s2,resnet20,kd,brightness,2,0.6830000281333923,0.15645748376846313,1.3991135358810425,0.47331732511520386,0.7121999859809875,0.9617459177970886,0.35338345170021057
student_resnet20_scratch_s1,resnet20,none,brightness,2,0.6754999756813049,0.06403183937072754,1.169784665107727,0.439028799533844,0.6949999928474426,0.8114399313926697,0.31539374589920044
student_resnet20_scratch_s2,resnet20,none,brightness,2,0.6761999726295471,0.07714711874723434,1.1974775791168213,0.4458062946796417,0.6985999941825867,0.8256031274795532,0.3284527063369751
student_resnet20_dkd_s1,resnet20,dkd,brightness,3,0.6711999773979187,0.0924215093255043,1.2404325008392334,0.45572802424430847,0.7141000032424927,0.7212993502616882,0.38214680552482605
student_resnet20_kd_s1,resnet20,kd,brightness,3,0.666700005531311,0.16047435998916626,1.4615697860717773,0.49342095851898193,0.7016000151634216,0.9922266602516174,0.35780155658721924
student_resnet20_kd_s2,resnet20,kd,brightness,3,0.6672999858856201,0.16421303153038025,1.487674593925476,0.49567392468452454,0.6966999769210815,1.0138362646102905,0.34710440039634705
student_resnet20_scratch_s1,resnet20,none,brightness,3,0.6596999764442444,0.06733137369155884,1.2434673309326172,0.4592115581035614,0.6802999973297119,0.8547181487083435,0.31279969215393066
student_resnet20_scratch_s2,resnet20,none,brightness,3,0.6614999771118164,0.08156886696815491,1.2694478034973145,0.4650230407714844,0.6841999888420105,0.8692975640296936,0.3201770484447479
student_resnet20_dkd_s1,resnet20,dkd,brightness,4,0.6485000252723694,0.10280333459377289,1.3490105867385864,0.4859386086463928,0.6951000094413757,0.7736908793449402,0.3764025866985321
student_resnet20_kd_s1,resnet20,kd,brightness,4,0.6434000134468079,0.17417556047439575,1.580573320388794,0.524681806564331,0.6780999898910522,1.0665215253829956,0.34988099336624146
student_resnet20_kd_s2,resnet20,kd,brightness,4,0.6477000117301941,0.17357882857322693,1.6112651824951172,0.5267818570137024,0.6786999702453613,1.088382601737976,0.33934035897254944
student_resnet20_scratch_s1,resnet20,none,brightness,4,0.6371999979019165,0.07412904500961304,1.3486995697021484,0.48798587918281555,0.6545000076293945,0.9169635772705078,0.303638219833374
student_resnet20_scratch_s2,resnet20,none,brightness,4,0.6412000060081482,0.08653165400028229,1.3758842945098877,0.49437710642814636,0.6614999771118164,0.935734748840332,0.31145867705345154
student_resnet20_dkd_s1,resnet20,dkd,brightness,5,0.5845000147819519,0.13045284152030945,1.6584075689315796,0.564385175704956,0.6470000147819519,0.8870902061462402,0.3735986649990082
student_resnet20_kd_s1,resnet20,kd,brightness,5,0.5848000049591064,0.20488795638084412,1.9281878471374512,0.6095836162567139,0.6277999877929688,1.23163640499115,0.33884528279304504
student_resnet20_kd_s2,resnet20,kd,brightness,5,0.5853999853134155,0.2103569507598877,1.9716730117797852,0.6124884486198425,0.6317999958992004,1.2590816020965576,0.3416479825973511
student_resnet20_scratch_s1,resnet20,none,brightness,5,0.5695000290870667,0.10062774270772934,1.6667433977127075,0.5695365071296692,0.5996000170707703,1.0715765953063965,0.29988789558410645
student_resnet20_scratch_s2,resnet20,none,brightness,5,0.5702000260353088,0.12082243710756302,1.679909586906433,0.5764740109443665,0.5979999899864197,1.0957350730895996,0.29624438285827637
student_resnet20_dkd_s1,resnet20,dkd,contrast,1,0.6804999709129333,0.09497339278459549,1.1856120824813843,0.44182831048965454,0.7211999893188477,0.6809844970703125,0.380728542804718
student_resnet20_kd_s1,resnet20,kd,contrast,1,0.6743999719619751,0.16277122497558594,1.444358468055725,0.4866451621055603,0.7087000012397766,0.9554992318153381,0.36271053552627563
student_resnet20_kd_s2,resnet20,kd,contrast,1,0.6754000186920166,0.16464944183826447,1.4549779891967773,0.48570454120635986,0.7087000012397766,0.9548630714416504,0.3631022274494171
student_resnet20_scratch_s1,resnet20,none,contrast,1,0.6704999804496765,0.07201063632965088,1.1887201070785522,0.44577959179878235,0.6948999762535095,0.8042903542518616,0.32863298058509827
student_resnet20_scratch_s2,resnet20,none,contrast,1,0.6714000105857849,0.07915990054607391,1.2084321975708008,0.4499725103378296,0.7027999758720398,0.8029295802116394,0.3435174226760864
student_resnet20_dkd_s1,resnet20,dkd,contrast,2,0.5996000170707703,0.1355135291814804,1.590352177619934,0.5554996728897095,0.6636000275611877,0.8439698219299316,0.38934803009033203
student_resnet20_kd_s1,resnet20,kd,contrast,2,0.5918999910354614,0.20874659717082977,1.9703949689865112,0.6123942136764526,0.6442000269889832,1.1786165237426758,0.3569023609161377
student_resnet20_kd_s2,resnet20,kd,contrast,2,0.593999981880188,0.2156422734260559,1.957885503768921,0.6093364953994751,0.6495000123977661,1.1727017164230347,0.3651668131351471
